128	3	src/oblib/lib/lds	
128	2	src/data_plane	
128	2	src/oblib/lib/compress/none	
127	2	src/share/location_cache	
125	1	src/query/scheduler	
122	2	src/data_plane/api/data_plane/report	
113	2	src/share/transaction	
110	1	src/share/allocator	
107	1	src/oblib/lib/metrics	
105	2	src/observer/scheduler	
103	1	src/oblib/easy/thread	
98	1	src/data_plane/api/data_plane/tmp_file	
92	2	src/query/api/query/ai	
83	1	src/storage/api/storage/vector	SCC
78	1	src/data_plane/api/data_plane/compaction	
75	1	src/storage/deadlock/test	
57	1	src/share/truncate_info	
52	1	src/storage/api/storage/runtime	
48	1	src/storage/tx/deadlock_adapter	
44	1	src/query/api/query/virtual_table	
43	1	src/oblib/lib/geometry	
43	1	src/query/api/query/change_stream	
40	1	src/oblib/lib/coro	
40	1	src/share/rpc	
39	1	src/data_plane/api/data_plane/direct_load	
37	1	src/share/tablelock	
35	1	src/query/api/query/tablelock	
30	1	src/oblib/common/expression	
