path	status	lines	includers	how_identified	generator	plan
src/sql/session/ob_system_variable_factory.cpp	checked-in	10705	0	output named at src/share/system_variable/gen_ob_sys_variables.py:1181	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
src/sql/session/ob_system_variable_factory.h	checked-in	5235	1	output named at src/share/system_variable/gen_ob_sys_variables.py:1180	src/share/system_variable/gen_ob_sys_variables.py	regenerated: generator pointed at Rust output (PLAN section 3)
tools/ob_error/src/os_errno.cpp	checked-in	471	0	marker 'DO NOT EDIT. This file is automatically generated from `ob_errno.def'.' at tools/ob_error/src/os_errno.cpp:17; output named at tools/ob_error/src/gen_os_errno.pl:97	tools/ob_error/src/gen_os_errno.pl	not named in PLAN section 3
tools/ob_error/src/os_errno.h	checked-in	169	1	marker 'DO NOT EDIT. This file is automatically generated from `ob_errno.def'.' at tools/ob_error/src/os_errno.h:17; output named at tools/ob_error/src/gen_os_errno.pl:51	tools/ob_error/src/gen_os_errno.pl	not named in PLAN section 3
build_release/generated/observer/virtual_table/ob_all_virtual_sqlite_tables.cpp	build-time	1547	0	written into the build directory build_release and compiled by the reference build	named at src/share/inner_table/generate_inner_table_schema.py:1407; named at src/share/inner_table/generate_inner_table_schema.py:1525	regenerated: generator pointed at Rust output (PLAN section 3)
build_release/generated/observer/virtual_table/ob_all_virtual_sqlite_tables.h	build-time	269	1	written into the build directory build_release	named at src/share/inner_table/generate_inner_table_schema.py:1360; named at src/share/inner_table/generate_inner_table_schema.py:1373; named at src/share/inner_table/generate_inner_table_schema.py:1426	regenerated: generator pointed at Rust output (PLAN section 3)
build_release/generated/share/inner_table/ob_inner_table_schema.10001_10050.cpp	build-time	2432	0	written into the build directory build_release and compiled by the reference build	named at src/share/inner_table/generate_inner_table_schema.py:2552	regenerated: generator pointed at Rust output (PLAN section 3)
build_release/generated/share/inner_table/ob_inner_table_schema.1001_1050.cpp	build-time	9189	0	written into the build directory build_release and compiled by the reference build	named at src/share/inner_table/generate_inner_table_schema.py:2552	regenerated: generator pointed at Rust output (PLAN section 3)
build_release/generated/share/inner_table/ob_inner_table_schema.101_150.cpp	build-time	8225	0	written into the build directory build_release and compiled by the reference build	named at src/share/inner_table/generate_inner_table_schema.py:2552	regenerated: generator pointed at Rust output (PLAN section 3)
build_release/generated/share/inner_table/ob_inner_table_schema.1051_1100.cpp	build-time	6496	0	written into the build directory build_release and compiled by the reference build	named at src/share/inner_table/generate_inner_table_schema.py:2552	regenerated: generator pointed at Rust output (PLAN section 3)
