from_crate	to_crate	class	edges	include	definition	link	own-header	via-generated	island	from-island	rust-header	examples
ob-log	ob-errno	listed	5	0	0	0	0	5	0	0	0	src/logservice/localservice/ob_local_log_handler_set.h -> src/share/mysql_errno.h (via-generated); src/logservice/palf/log_iterator_impl.h -> src/share/mysql_errno.h (via-generated)
ob-log	ob-base	listed	152	152	0	0	0	0	0	0	0	src/logservice/applyservice/ob_log_apply_service.h -> src/oblib/lib/lock/ob_qsync_lock.h (include); src/logservice/applyservice/ob_log_apply_service.h -> src/oblib/lib/queue/ob_link_queue.h (include)
ob-log	ob-runtime	listed	29	29	0	0	0	0	0	0	0	src/logservice/applyservice/ob_log_apply_service.h -> src/oblib/lib/thread/ob_simple_thread_pool.h (include); src/logservice/applyservice/ob_log_apply_service.h -> src/oblib/lib/thread/ob_thread_lease.h (include)
ob-log	ob-values	listed	6	6	0	0	0	0	0	0	0	src/logservice/applyservice/ob_log_apply_service.h -> src/oblib/common/ob_role.h (include); src/logservice/ob_log_handler.h -> src/oblib/common/ob_role.h (include)
ob-log	ob-share	listed	33	33	0	0	0	0	0	0	0	src/logservice/applyservice/ob_log_apply_service.h -> src/share/scn.h (include); src/logservice/ob_append_callback.h -> src/share/scn.h (include)
storage-api	ob-errno	listed	1	0	0	0	0	1	0	0	0	src/data_plane/api/data_plane/transaction/ob_tx_seq.h -> src/share/mysql_errno.h (via-generated)
storage-api	ob-base	listed	68	68	0	0	0	0	0	0	0	src/data_plane/api/data_plane/access/ob_dml_table_plan.h -> src/oblib/lib/string/ob_string.h (include); src/data_plane/api/data_plane/access/ob_dml_table_plan.h -> src/oblib/lib/utility/ob_print_utils.h (include)
storage-api	ob-runtime	listed	3	3	0	0	0	0	0	0	0	src/data_plane/api/data_plane/blocksstable/ob_datum_row_iterator.h -> src/share/allocator/ob_reserve_arena.h (include); src/data_plane/api/data_plane/ob_inner_sql_transmit_arg.h -> src/oblib/lib/net/ob_addr.h (include)
storage-api	ob-values	listed	28	28	0	0	0	0	0	0	0	src/data_plane/api/data_plane/access/ob_table_param.h -> src/oblib/common/object/ob_object.h (include); src/data_plane/api/data_plane/access/ob_table_scan_access.h -> src/oblib/common/object/ob_object.h (include)
storage-api	ob-values-doc	listed	1	1	0	0	0	0	0	0	0	src/query/api/query/engine/basic/ob_pushdown_filter.h -> src/share/semistruct/ob_sub_column_path.h (include)
storage-api	ob-share	listed	11	11	0	0	0	0	0	0	0	src/data_plane/api/data_plane/access/ob_table_scan_param.h -> src/share/transaction/ob_tx_id.h (include); src/data_plane/api/data_plane/access/ob_tablet_scan.h -> src/share/scn.h (include)
storage-api	ob-schema	listed	4	4	0	0	0	0	0	0	0	src/data_plane/api/data_plane/access/ob_dml_table_plan.h -> src/share/schema/ob_col_desc.h (include); src/data_plane/api/data_plane/access/ob_dml_table_plan.h -> src/share/schema/ob_schema_struct.h (include)
storage-api	geo-sys	listed	1	0	0	0	0	0	1	0	0	src/data_plane/api/data_plane/access/ob_tablet_scan.h -> src/share/geo/ob_s2adapter.h (island)
storage-api	storage-tablet	upward-unnamed	1	1	0	0	0	0	0	0	0	src/sql/engine/basic/ob_pushdown_filter.cpp -> src/data_plane/api/data_plane/lob/ob_lob_value.h (include)
storage-api	storage-search	upward-named	1	1	0	0	0	0	0	0	0	src/data_plane/api/data_plane/access/ob_dml_table_plan.h -> src/data_plane/api/data_plane/fts/ob_doc_id.h (include)
storage-api	sql-ir	upward-unnamed	1	1	0	0	0	0	0	0	0	src/sql/engine/basic/ob_pushdown_filter.cpp -> src/sql/resolver/expr/ob_raw_expr_util.h (include)
storage-api	sql-exec	upward-named	8	8	0	0	0	0	0	0	0	src/query/api/query/engine/basic/ob_pushdown_filter.h -> src/query/api/query/engine/expr/ob_expr.h (include); src/query/api/query/engine/basic/ob_pushdown_filter.h -> src/query/api/query/engine/expr/ob_expr_in.h (include)
storage-api	sql-expr	upward-named	3	3	0	0	0	0	0	0	0	src/sql/engine/basic/ob_pushdown_filter.cpp -> src/sql/engine/expr/ob_expr_json_func_helper.h (include); src/sql/engine/basic/ob_pushdown_filter.cpp -> src/sql/engine/expr/ob_expr_topn_filter.h (include)
storage-api	sql-engine	upward-unnamed	1	1	0	0	0	0	0	0	0	src/sql/engine/basic/ob_pushdown_filter.cpp -> src/sql/engine/aggregate/ob_pushdown_aggregate_program.h (include)
storage-api	sql-codegen	upward-unnamed	1	1	0	0	0	0	0	0	0	src/sql/engine/basic/ob_pushdown_filter.cpp -> src/sql/code_generator/ob_static_engine_cg.h (include)
storage-sstable	ob-errno	listed	3	0	0	0	0	3	0	0	0	src/storage/tmp_file/ob_i_tmp_file.cpp -> src/share/mysql_errno.h (via-generated); src/storage/tmp_file/ob_tmp_file_flush_list_iterator.cpp -> src/share/mysql_errno.h (via-generated)
storage-sstable	ob-base	listed	116	116	0	0	0	0	0	0	0	src/storage/blocksstable/encoding/neon/ob_encoding_neon_util.h -> src/oblib/lib/ob_define.h (include); src/storage/blocksstable/encoding/ob_bit_stream.h -> src/oblib/lib/utility/ob_print_utils.h (include)
storage-sstable	ob-runtime	listed	60	60	0	0	0	0	0	0	0	src/data_plane/api/data_plane/blocksstable/ob_index_block_util.h -> src/oblib/common/ob_version_def.h (include); src/storage/blocksstable/encoding/ob_encoding_util.h -> src/share/rc/ob_server_runtime.h (include)
storage-sstable	ob-values	listed	33	33	0	0	0	0	0	0	0	src/data_plane/api/data_plane/blocksstable/ob_index_block_util.h -> src/oblib/common/datum/ob_datum.h (include); src/storage/blocksstable/encoding/ob_dict_decoder.h -> src/share/vector/ob_bit_vector.h (include)
storage-sstable	ob-share	listed	16	16	0	0	0	0	0	0	0	src/storage/blocksstable/index_block/ob_index_block_builder.cpp -> src/share/ob_io_device_helper.h (include); src/storage/blocksstable/ob_block_sstable_struct.cpp -> src/share/ob_server_struct.h (include)
storage-sstable	ob-schema	listed	8	8	0	0	0	0	0	0	0	src/storage/blocksstable/index_block/ob_index_block_util.cpp -> src/share/schema/ob_schema_struct.h (include); src/storage/blocksstable/index_block/ob_index_block_util.cpp -> src/share/schema/ob_table_schema.h (include)
storage-sstable	storage-api	listed	36	31	5	0	0	0	0	0	0	src/storage/blocksstable/encoding/ob_dict_decoder.cpp -> src/data_plane/api/data_plane/encoding/ob_cpu_features.h (include); src/storage/blocksstable/encoding/ob_encoding_bitset.h -> src/query/api/query/engine/vector/ob_fixed_length_format.h (include); src/storage/blocksstable/ob_datum_row.cpp -> src/data_plane/api/data_plane/blocksstable/ob_datum_row.h (definition)
