defining_file	declaring_file	definitions	scopes
src/logservice/palf/palf_handle_impl_guard.cpp	src/logservice/palf/palf_handle_impl_guard.h	4	oceanbase::palf::IPalfHandleImplGuard=4
src/logservice/replayservice/ob_log_replay_service.cpp	src/logservice/replayservice/ob_log_replay_service.h	58	oceanbase::logservice::ObLogReplayService=50;oceanbase::logservice::ReplayProcessStat=8
src/logservice/replayservice/ob_replay_handler.cpp	src/logservice/replayservice/ob_replay_handler.h	6	oceanbase::logservice::ObReplayHandler=6
src/logservice/replayservice/ob_replay_status.cpp	src/logservice/replayservice/ob_replay_status.h	86	oceanbase::logservice::ObReplayStatus=40;oceanbase::logservice::ObReplayServiceSubmitTask=17;oceanbase::logservice::ObReplayServiceReplayTask=9
src/oblib/common/cell/ob_cell_reader.cpp	src/oblib/common/cell/ob_cell_reader.h	16	oceanbase::common::ObCellReader=16
src/oblib/common/cell/ob_cell_writer.cpp	src/oblib/common/cell/ob_cell_writer.h	17	oceanbase::common::ObCellWriter=17
src/oblib/common/datum/ob_datum.cpp	src/oblib/common/datum/ob_datum.h	9	oceanbase::common::ObDatum=9
src/oblib/common/enumset/ob_enum_set_meta.cpp	src/oblib/common/enumset/ob_enum_set_meta.h	9	oceanbase::common::ObEnumSetMeta=9
src/oblib/common/json_type/ob_json_base.cpp	src/oblib/common/json_type/ob_json_base.h	132	oceanbase::common::ObIJsonBase=93;oceanbase::common::ObJsonBaseUtil=25;oceanbase::common::JsonObjectIterator=6
src/oblib/common/json_type/ob_json_bin.cpp	src/oblib/common/json_type/ob_json_bin.h	154	oceanbase::common::ObJsonBin=109;oceanbase::common::ObJsonBinSerializer=11;oceanbase::common::ObJsonBinMeta=9
src/oblib/common/json_type/ob_json_diff.cpp	src/oblib/common/json_type/ob_json_diff.h	17	oceanbase::common::ObJsonDiff=7;oceanbase::common::ObJsonBinUpdateCtx=6;oceanbase::common::ObJsonDiffHeader=3
src/oblib/common/json_type/ob_json_parse.cpp	src/oblib/common/json_type/ob_json_parse.h	20	oceanbase::common::ObRapidJsonHandler=17;oceanbase::common::ObJsonParser=3
src/oblib/common/json_type/ob_json_path.cpp	src/oblib/common/json_type/ob_json_path.h	122	oceanbase::common::ObJsonPath=54;oceanbase::common::ObJsonPathUtil=23;oceanbase::common::ObJsonPathFilterNode=16
src/oblib/common/json_type/ob_json_schema.cpp	src/oblib/common/json_type/ob_json_schema.h	116	oceanbase::common::ObJsonSchemaTree=46;oceanbase::common::ObJsonSchemaValidator=43;oceanbase::common::ObJsonSchemaUtils=22
src/oblib/common/json_type/ob_json_tree.cpp	src/oblib/common/json_type/ob_json_tree.h	64	oceanbase::common::ObJsonNode=24;oceanbase::common::ObJsonObject=16;oceanbase::common::ObJsonArray=10
src/oblib/common/lob/ob_lob_base.cpp	src/oblib/common/lob/ob_lob_base.h	19	oceanbase::common::ObILobCursor=17;oceanbase::common::ObLobInRowUpdateCursor=2
src/oblib/common/log/ob_log_cursor.cpp	src/oblib/common/log/ob_log_cursor.h	14	oceanbase::common::ObLogCursor=13;oceanbase::common::set_cursor=1
src/oblib/common/log/ob_log_data_writer.cpp	src/oblib/common/log/ob_log_data_writer.h	8	oceanbase::common::ObLogDataWriter=4;oceanbase::common::ObLogDataWriter::AppendBuffer=3;oceanbase::common::myfallocate=1
src/oblib/common/log/ob_log_dir_scanner.cpp	src/oblib/common/log/ob_log_dir_scanner.h	10	oceanbase::common::ObLogDirScanner=6;oceanbase::common::ObSimpleLogFile=4
src/oblib/common/log/ob_log_entry.cpp	src/oblib/common/log/ob_log_entry.h	8	oceanbase::common::ObLogEntry=7;oceanbase::common::DEFAULT_CKPT_EXTENSION=1
src/oblib/common/log/ob_log_generator.cpp	src/oblib/common/log/ob_log_generator.h	10	oceanbase::common::ObLogGenerator=8;oceanbase::common::DebugLog=2
src/oblib/common/log/ob_log_reader.cpp	src/oblib/common/log/ob_log_reader.h	5	oceanbase::common::ObLogReader=5
src/oblib/common/log/ob_single_log_reader.cpp	src/oblib/common/log/ob_single_log_reader.h	6	oceanbase::common::ObSingleLogReader=6
src/oblib/common/mysqlclient/ob_isql_client.cpp	src/oblib/common/mysqlclient/ob_isql_client.h	7	oceanbase::common::ObISQLClient::ReadResult=6;oceanbase::common::ObISQLClient=1
src/oblib/common/mysqlclient/ob_mysql_proxy.cpp	src/oblib/common/mysqlclient/ob_mysql_proxy.h	16	oceanbase::common::ObCommonSqlProxy=9;oceanbase::common::ObSessionDDLInfo=6;oceanbase::common::create_inner_sql_connection_for_proxy=1
src/oblib/common/mysqlclient/ob_mysql_result.cpp	src/oblib/common/mysqlclient/ob_mysql_result.h	5	oceanbase::common::sqlclient::ObMySQLResult=5
src/oblib/common/mysqlclient/ob_mysql_transaction.cpp	src/oblib/common/mysqlclient/ob_mysql_transaction.h	9	oceanbase::common::ObMySQLTransaction=9
src/oblib/common/mysqlclient/ob_single_connection_proxy.cpp	src/oblib/common/mysqlclient/ob_single_connection_proxy.h	8	oceanbase::common::ObSingleConnectionProxy=8
src/oblib/common/number/ob_number_v2.cpp	src/oblib/common/number/ob_number_v2.h	131	oceanbase::common::number::ObNumber=94;oceanbase::common::number::ObCalcVector=11;oceanbase::common::number::ObNumberBuilder=9
src/oblib/common/ob_accuracy.cpp	src/oblib/common/ob_accuracy.h	8	oceanbase::common::ObAccuracy=8
